City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Kamaishi,JP,2022-05-05 21:07:18,39.2667,141.8833,58.21,67,6,6.42
182,San Cristobal,VE,2022-05-05 21:07:18,7.7669,-72.225,77.18,79,100,4.9
183,Cilegon,ID,2022-05-05 21:07:19,-6.0174,106.0538,78.73,88,31,6.76
184,Yambio,SS,2022-05-05 21:07:19,4.5721,28.3955,72.45,75,99,4.07
185,Baghdad,IQ,2022-05-05 21:06:27,33.3406,44.4009,75.11,38,0,5.75
186,Kisangani,CD,2022-05-05 21:07:20,0.5167,25.2,74.16,86,100,0.89
187,Yumen,CN,2022-05-05 21:07:21,40.2833,97.2,59.11,25,100,23.8
188,Eidsvag,NO,2022-05-05 21:07:21,62.7767,8.0668,48.25,74,96,7.11
189,Neuquen,AR,2022-05-05 21:05:42,-38.9516,-68.0591,67.89,37,0,3.44
190,Luderitz,NA,2022-05-05 21:07:22,-26.6481,15.1594,63.16,63,0,5.44
191,Cherskiy,RU,2022-05-05 21:07:22,68.75,161.3,32.9,94,97,4.88
192,Tura,IN,2022-05-05 21:07:22,25.5198,90.2201,68.83,92,2,3.76
193,Vila Velha,BR,2022-05-05 21:06:39,-20.3297,-40.2925,80.55,87,75,8.99
194,Rabaul,PG,2022-05-05 21:07:23,-4.1967,152.1721,80.29,80,84,4.76
195,Bambous Virieux,MU,2022-05-05 21:07:24,-20.3428,57.7575,76.21,81,45,21.59
196,Tiksi,RU,2022-05-05 21:07:24,71.6872,128.8694,7.45,97,79,5.44
197,Manzanillo,CU,2022-05-05 21:07:24,20.3433,-77.1167,85.1,59,28,10.04
198,Ilebo,CD,2022-05-05 21:07:25,-4.3167,20.5833,76.84,78,98,1.7
199,Moba,CN,2022-05-05 21:07:25,33.2288,105.0179,50.88,88,0,2.53
200,Sobolevo,RU,2022-05-05 21:07:26,54.4299,31.8996,40.78,62,99,6.06
201,Tiznit,MA,2022-05-05 21:07:26,29.5833,-9.5,67.71,46,100,2.08
